job_id,topic,model,run_index,status,subtopics,examples
run-001-97569270d004d013,redox reactions,gpt-5.6-terra,1,completed,7,8
run-001-6ca9e42ade7873d9,redox reactions,grok-4.3,1,completed,8,8
run-001-c961b7fd8ecb8b97,redox reactions,gemini-3.8-flash,1,completed,4,8
run-001-c7bea64c2c8a45b4,redox reactions,claude-sonnet-5,1,completed,6,7
run-001-cb1009486230fe9d,redox reactions,llama-4-maverick,1,completed,5,4
run-001-f363e58d0ed8b1ce,covalent radius,gpt-5.6-terra,1,completed,5,2
run-001-74c61ad967da5842,covalent radius,grok-4.3,1,completed,4,3
run-001-07fca11817f0cbf8,covalent radius,gemini-3.8-flash,1,completed,5,5
run-001-32e17a751371eca0,covalent radius,claude-sonnet-5,1,completed,3,2
run-001-70ac966231c14e2b,covalent radius,llama-4-maverick,1,completed,3,2
run-001-a2b5c9910abd8a1c,alkaline earth metals,gpt-5.6-terra,1,completed,12,11
run-001-60e80a99e3f0b705,alkaline earth metals,grok-4.3,1,completed,7,7
run-001-4556e1d43bd78897,alkaline earth metals,gemini-3.8-flash,1,completed,7,6
run-001-1beda26d67e6061e,alkaline earth metals,claude-sonnet-5,1,completed,7,8
run-001-39f40728683856f6,alkaline earth metals,llama-4-maverick,1,completed,8,5
run-001-f1ca274cdf615f77,vapour phase refining,gpt-5.6-terra,1,completed,3,2
run-001-43d2dac7f3bbcf69,vapour phase refining,grok-4.3,1,completed,6,2
run-001-811417147a4da0aa,vapour phase refining,gemini-3.8-flash,1,completed,4,6
run-001-bb8b672589214193,vapour phase refining,claude-sonnet-5,1,completed,4,3
run-001-361d6732c55e5094,vapour phase refining,llama-4-maverick,1,completed,3,2
run-002-68c5a4d58c0795ba,redox reactions,gpt-5.6-terra,2,completed,6,5
run-002-a237a107bf861ccc,redox reactions,grok-4.3,2,completed,4,7
run-002-669d34490611e2ff,redox reactions,gemini-3.8-flash,2,completed,3,6
run-002-6e205aae6abd67f6,redox reactions,claude-sonnet-5,2,completed,7,7
run-002-33b05b04613c502f,redox reactions,llama-4-maverick,2,completed,3,2
run-002-cc1fa93bb27c3f12,covalent radius,gpt-5.6-terra,2,completed,7,2
run-002-82d2163d54bf695e,covalent radius,grok-4.3,2,completed,4,3
run-002-8a850ca3ac8b44fa,covalent radius,gemini-3.8-flash,2,completed,5,3
run-002-45754f15b72ce34d,covalent radius,claude-sonnet-5,2,completed,8,6
run-002-7d441e333cc2fddc,covalent radius,llama-4-maverick,2,completed,3,3
run-002-9baf7202ffae9581,alkaline earth metals,gpt-5.6-terra,2,completed,10,3
run-002-88a5a788d042bf2d,alkaline earth metals,grok-4.3,2,completed,8,5
run-002-939c50596b93be1c,alkaline earth metals,gemini-3.8-flash,2,completed,5,6
run-002-8ebbae32bcf22333,alkaline earth metals,claude-sonnet-5,2,completed,10,7
run-002-4b2edadaaa0c4867,alkaline earth metals,llama-4-maverick,2,completed,17,3
run-002-85fbaf364377eff6,vapour phase refining,gpt-5.6-terra,2,completed,2,5
run-002-d0e886eb4a77e394,vapour phase refining,grok-4.3,2,completed,3,3
run-002-efadfa462681ba35,vapour phase refining,gemini-3.8-flash,2,completed,3,4
run-002-e2878c5341f5363a,vapour phase refining,claude-sonnet-5,2,completed,3,5
run-002-e8d0e92c05a08e8d,vapour phase refining,llama-4-maverick,2,completed,1,1
run-003-411171c06a9c46c6,redox reactions,gpt-5.6-terra,3,completed,6,8
run-003-45767110e80ca073,redox reactions,grok-4.3,3,completed,6,5
run-003-b4aabb1c4c7d6ed0,redox reactions,gemini-3.8-flash,3,completed,4,8
run-003-c4a94d9096640bb5,redox reactions,claude-sonnet-5,3,completed,7,8
run-003-090cff8f5ac35b46,redox reactions,llama-4-maverick,3,completed,3,3
run-003-68a24b562029b40f,covalent radius,gpt-5.6-terra,3,completed,5,3
run-003-86d6a629dc2be449,covalent radius,grok-4.3,3,completed,3,2
run-003-95d73d5b028fad25,covalent radius,gemini-3.8-flash,3,completed,4,2
run-003-b778d6d860afcc11,covalent radius,claude-sonnet-5,3,completed,3,2
run-003-058c2d30a895621f,covalent radius,llama-4-maverick,3,completed,3,3
run-003-68da8ed11cdb48ff,alkaline earth metals,gpt-5.6-terra,3,completed,12,7
run-003-958619d74a81f888,alkaline earth metals,grok-4.3,3,completed,7,4
run-003-37227cf2902a80bb,alkaline earth metals,gemini-3.8-flash,3,completed,8,4
run-003-8627c70c5a0e0e89,alkaline earth metals,claude-sonnet-5,3,completed,9,6
run-003-ff8937557f67dc22,alkaline earth metals,llama-4-maverick,3,completed,6,4
run-003-d6bf9af472f5e517,vapour phase refining,gpt-5.6-terra,3,completed,3,2
run-003-678a3c99362ed2c6,vapour phase refining,grok-4.3,3,completed,3,2
run-003-f958ede55b3be8dd,vapour phase refining,gemini-3.8-flash,3,completed,3,2
run-003-1692f2a934bc4291,vapour phase refining,claude-sonnet-5,3,completed,3,3
run-003-ffbf4c7e39035d48,vapour phase refining,llama-4-maverick,3,completed,3,2
