model,topic_id,comparison,word_units_delta,word_units_percent,characters_delta,characters_percent,graphemes_delta,graphemes_percent,output_tokens_delta,output_tokens_percent
gpt-5.6-terra,ch-4,B-A,-294,-43.11,-1342,-26.12,-1996,-47.14,235,16.48
gpt-5.6-terra,ch-4,C-A,-308,-45.16,-1491,-29.02,-2030,-47.95,89,6.24
gpt-5.6-terra,ch-4,B-C,14,3.74,149,4.09,34,1.54,146,9.64
grok-4.3,ch-4,B-A,-254,-54.16,-1054,-33.52,-1345,-52.05,1099,79.99
grok-4.3,ch-4,C-A,-227,-48.4,-852,-27.1,-1263,-48.88,1798,130.86
grok-4.3,ch-4,B-C,-27,-11.16,-202,-8.81,-82,-6.21,-699,-22.04
gemini-3.8-flash,ch-4,B-A,-290,-48.17,-971,-24.01,-1503,-45.33,-31,-1.42
gemini-3.8-flash,ch-4,C-A,-317,-52.66,-1321,-32.67,-1668,-50.3,-126,-5.76
gemini-3.8-flash,ch-4,B-C,27,9.47,350,12.85,165,10.01,95,4.61
claude-sonnet-5,ch-4,B-A,-77,-24.84,-280,-11.01,-681,-32.31,888,80.14
claude-sonnet-5,ch-4,C-A,-9,-2.9,297,11.68,-303,-14.37,1391,125.54
claude-sonnet-5,ch-4,B-C,-68,-22.59,-577,-20.32,-378,-20.94,-503,-20.13
llama-4-maverick,ch-4,B-A,-398,-75.38,-2113,-63.8,-2106,-76.53,119,16.93
llama-4-maverick,ch-4,C-A,-262,-49.62,-946,-28.56,-1501,-54.54,896,127.45
llama-4-maverick,ch-4,B-C,-136,-51.13,-1167,-49.32,-605,-48.36,-777,-48.59
gpt-5.6-terra,ch-5,B-A,-63,-23.95,327,19.7,-251,-18.39,405,101.76
gpt-5.6-terra,ch-5,C-A,-92,-34.98,9,0.54,-368,-26.96,315,79.15
gpt-5.6-terra,ch-5,B-C,29,16.96,318,19.05,117,11.74,90,12.62
grok-4.3,ch-5,B-A,-47,-17.28,568,36.72,-98,-7.78,1720,169.63
grok-4.3,ch-5,C-A,-124,-45.59,-284,-18.36,-537,-42.62,977,96.35
grok-4.3,ch-5,B-C,77,52.03,852,67.46,439,60.72,743,37.32
gemini-3.8-flash,ch-5,B-A,-250,-47.17,-728,-21.88,-1227,-44.85,271,17.53
gemini-3.8-flash,ch-5,C-A,-243,-45.85,-671,-20.17,-1168,-42.69,428,27.68
gemini-3.8-flash,ch-5,B-C,-7,-2.44,-57,-2.15,-59,-3.76,-157,-7.95
claude-sonnet-5,ch-5,B-A,-87,-29.59,120,6.2,-421,-26.33,1004,137.72
claude-sonnet-5,ch-5,C-A,-123,-41.84,-348,-17.98,-671,-41.96,498,68.31
claude-sonnet-5,ch-5,B-C,36,21.05,468,29.49,250,26.94,506,41.24
llama-4-maverick,ch-5,B-A,-188,-54.02,-628,-31.51,-906,-55.51,443,104.73
llama-4-maverick,ch-5,C-A,-219,-62.93,-966,-48.47,-1064,-65.2,256,60.52
llama-4-maverick,ch-5,B-C,31,24.03,338,32.91,158,27.82,187,27.54
gpt-5.6-terra,ch-6,B-A,-388,-54.65,-2302,-43.38,-2725,-62.04,-161,-11.63
gpt-5.6-terra,ch-6,C-A,-165,-23.24,-297,-5.6,-1450,-33.01,688,49.71
gpt-5.6-terra,ch-6,B-C,-223,-40.92,-2005,-40.02,-1275,-43.34,-849,-40.97
grok-4.3,ch-6,B-A,-191,-40.55,-800,-23.47,-1111,-42.47,992,90.76
